अँगड़ाई	yawn  
अन्ग्रेजी	English  
अँग्स्ट्रॉम	angstrom  
अँडरसन	anderson  
अँथनी	anthony  
अँथोनी	anthony  
अंक	number  
अंकगणित	numerical
अंकगनित	numerical
अंकित	dedicated  
अंकिता	ankita  
अंकुर	sprout  
अंकुश	ankush  
अंकों	Numbers  
अंग	Body part  
अंगडाई	yawn  
अंगद	angad  
अंगरकशक	body guard  
अंगरक्षक	body guard  
अंगरॆजि	english  
अंगरॆजॊं	english people  
अंगरेजी	English  
अंगों	Parts  
अंग्रेज़ी	english  
अंग्रेजी	english  
अंग्रेजों	British  
अंग्रेज़ी	english  
अंचल	anchal  
अंजन	anjan  
अंजना	anjana  
अंजाम	Consequence  
अंजु	anju  
अंजुम	anjum  
अंजुमन	anjuman
अंजू	Anju  
अंटारकटिक	antartic  
अंटार्कटिका	antartica  
अंटार्क्टिका	antartica  
अंडमान	Andaman  
अंडर	Under  
अंडरवरलड	Under world  
अंडरवर्ल्ड	Under world  
अंडरवल्र्ड	Under world  
अंडरस	unders  
अंडरसन	anderson
अंडा	egg
अंडे	Eggs  
अंडों	Eggs  
अंत	End  
अंततः	Everywhere
अंततऱ् 	difference
अंतर	Difference  
अंतरदृशटि	sixth sense  
अंतरराजयिय	inter state  
अंतरराशटरिय	international  
अंतरराष्ट	International  
अंतरराष्ट्र	International  
अंतरराष्ट्रीय	International  
अंतरा	Antara  
अंतराल	interval  
अंतराळ	interval  
अंतराशटरिय	International  
अंतराष्ट्रीय	International  
अंतरिकश	space  
अंतरिक्ष	Space  
अंतरिम	Interim  
अंतरीक्ष	space  
अंतर्ध्वनि	 inside voice
अंतर्मुख	inside voice
अंतर्राष्ट्रीय	International  
अंदर	Inside  
अंदरुनि	internal  
अंदाज	Style  
अंदाजः	Style  
अंदाज़	Style  
अंदाज़	Style  
अंदॆशॆ	expectation  
अंदेशे	expectation  
अंधकार	Darkness  
अंधा	blind  
अंधे	blinds  
अंपायर	Umpire  
अंबानि	ambani  
अंबानी	Ambani  
अंबॆडकर	ambedkar  
अंबेडकर	ambedkar  
अंर्तविरोध	internal conflict  
अंश	episode  
अंसारि	Ansari  
अंसारी	Ansari  
अकटुबर	october  
अकटॊबर	october  
अकतियार	wright  
अकतुबर	october  
अकबर	Akbar  
अकबार	News paper  
अकरम	Akram  
अकल	mind  
अकलपनिय	unimaginable
अकल्पनीय	unimaginable
अकशय	akshay  
अकशर	word  
अकशरदाम	akshardham  
अकसर	Usually  
अकसिजन	oxygen  
अकस्मात	 accidentally 
अकादमि	Academy  
अकादमिक	academic  
अकादमी	Academy  
अकाल	starvation  
अकेला	Alone  
अकेली	Alone  
अकेले	Alone  
अकेलेपन	Loneliness  
अक्खड	stubborn  
अक्खड़	stubborn  
अक्टूबर	October  
अक्टोबर	October  
अक्तुबर	October  
अक्तूबर	october  
अक्षय	Infinite
अक्षर	Letter  
अक्षरग्राम	akshargram  
अक्सर	Usually  
अक्सिजन	oxygen  
अखबार	News paper  
अखबारों	News paper  
अख़बार	News paper  
अखिल	Akhil  
अखिलेश	akhilesh  
अख्तर	Akhtar  
अख्तियार	wright  
अगं	organ  
अगनि	fire  
अगर	If  
अगरवाल	agarwal  
अगरसर	proceeding  
अगला	Next  
अगलि	next  
अगली	Next  
अगलॆ	next  
अगले	Next  
अगवा	Missing  
अगसत	august  
अगस्त	August  
अग्नि	fire  
अग्निरेखा	fire wall  
अग्निहोत्री	agnihotri  
अग्रवाल	Agrawal  
अग्रसर	proceeding  
अचानक	Suddenly  
अचार	pickle  
अचुक	accurate  
अचूक	accurate  
अच्छा	Good  
अच्छी	Good  
अच्छे	Good  
अछूत	untouchable  
अजनबि	stranger  
अजनबी	Stranger  
अजब	Strange  
अजमॆर	ajmer  
अजमेर	ajmer  
अजय	victorious  
अजययादव	ajay yadav  
अज़ीज़	dear  
अजान	call  
अजिज	dear  
अजित	Ajit  
अजीज	Ajit  
अजीत	Ajit  
अजीब	Strange  
अजीबोगरीब	strange  
अजेंडा	agenda  
अज्ञात	Hiding 
अज्ञान	unknown  
भारत	India
अज्ञेय	victorious  
अटक	cought  
अटकलॊं	remours  
अटटासि	eighty eight
अटरावॆ	eighteenth  
अटलबिहारि	atal bihari  
अटलबिहारी	atal bihari  
अटलांटिक	atlantic  
अटलांटिस	atlantis  
अटहततर	sixty eight  
अटारह	eighteen
अटारहवां	eighteenth
अटूट	Unbreakable  
अट्ठाईस	twenty eight
अट्ठानवे	ninety eight
अट्ठारह	eighteen  
अट्ठावन	fifty eight
अट्ठासी	eighty eight
अठरावा	eighteen
अठहत्तर	seventy eight
अठारह	eighteen
अठारहवां	eighteen
अडतालिस	fourty eight
अडतिस	thirty eight
अडसट	sixty eight
अड़तालीस	fourty eight
अड़तीस	thirty eight
अड़सठ	sixty eight
अडियॊ	immobile  
अडियो	immobile  
अड्डा	Location  
अड्डे	Location  
अड्डों	Location  
अणु	atom  
अतंकवादियॊं	terrorist  
अतंकवादियों	terrorist  
अतः	therefore  
अतरराशटरिय	international  
अतर्राष्ट्रीय	international  
अति	Extreme  
अतिथि	Guest  
अतिथी	guest  
अतिरिक्त	Additional  
अतीत	Beyond  
अतुल	Atul  
अत्यंत	Most  
अत्यथिक	Maximum  
अत्यधिक	Maximum  
अत्यन्त	Maximum  
अत्याचार	Abuse 
अत्याधुनिक	Latest  
अथवा	Otherwise  
अथिकतम	Maximum  
अथिकतर	Maximum  
अथिकांश	Most  
अथिकारियों	Officer  
अथिकारी	Officer  
अथिनियम	law  
अथेन्स	athens  
अथॉरिटी	authority  
अदयातम	spritual  
अदयातमिक	spritual  
अदयादॆश	orders  
अदयाय	Chapter  
अदरक	Ginger  
अदा	style  
अदालत	Court  
अदालतॆ	Court  
अदालते	Court  
अदालतों	Court  
अदिकार	right  
अदिकारि	Officer  
अदिकारियॊं	Officer  
अदिकारॊं	rights  
अदिति	aditi  
अदिती	aditi  
अदिनियम	law  
अदिलाबाद	adilabad  
अदिसुचन	notice  
अद्भुत	Wonderful  
अद्वितीय	second  
अधर्म	non religious  
अधिक	Most  
अधिकतम	Most  
अधिकतर	Most  
अधिकांश	Most  
अधिकार	Authority  
अधिकारपत्र	authority paper  
अधिकारियों	Authorities  
अधिकारी	Officer  
अधिकारों	Authorities  
अधिनियम	Most rules  
अधिवक्ता	speaker  
अधिवर्ष	year  
अधिसूचना	notice  
अधिसूचनाएं	notice  
अधूरा	Incomplete  
अधूरी	Incomplete  
अधूरे	Incomplete  
अधेंरे	Incomplete  
अध्यक्ष	Leader  
अध्यक्षता	Leadership  
अध्ययन	Study  
अध्यात्म	Spiritual  
अध्यात्मिक	Spiritual  
अध्यादेश	orders  
अध्यापक	Teacher 
अध्याय	Chapter  
अनंत	Infinite  
